DateTime,BE,DE,ES,FR,NL,PL,GB
01/01/2022 00:00,82.02,50.05,145.86,89.06,124.7,59.03,137.9897183
01/01/2022 01:00,67.07,41.33,114.9,78.48,124.7,49.37,178.4881238
01/01/2022 02:00,75.11,43.22,113.87,85.16,134,43.22,118.9960494
01/01/2022 03:00,50.91,45.46,97.8,50,58.8,45.46,29.81149154
01/01/2022 04:00,37.67,37.67,97.8,37.67,37.67,37.67,9.342124094
01/01/2022 05:00,39.7,39.7,95.74,39.7,39.7,39.7,-11.90079502
01/01/2022 06:00,40.59,40.59,97.8,40.59,40.59,40.59,-29.75198756
01/01/2022 07:00,43.26,43.26,97.8,43.26,43.26,43.26,-29.72818597
01/01/2022 08:00,49.66,49.66,97.8,49.66,49.66,49.66,-59.50397512
01/01/2022 09:00,70.05,70.05,70.05,70.05,70.05,70.05,-46.6392157
01/01/2022 10:00,76.79,76.79,76.79,76.79,76.79,76.79,0.011900795
01/01/2022 11:00,84.1,84.1,84.1,84.1,84.1,84.1,23.80159005
01/01/2022 12:00,94.74,94.74,94.74,94.74,94.74,94.74,69.75055964
01/01/2022 13:00,96.8,96.8,96.8,96.8,96.8,96.8,107.3094687
01/01/2022 14:00,97.17,97.17,97.8,97.17,97.17,97.17,119.0079502
01/01/2022 15:00,95.21,101,98.52,98.52,101.27,101,121.578522
01/01/2022 16:00,111.66,126.6,114.5,114.5,126.6,126.6,123.3041372
01/01/2022 17:00,149.97,149.97,149.97,149.97,149.97,149.97,184.9740571
01/01/2022 18:00,146.33,146.33,177.22,146.33,146.33,146.33,247.1557111
01/01/2022 19:00,140.28,140.28,187.52,140.28,140.28,140.28,186.2236405
01/01/2022 20:00,121.88,121.88,189.26,121.88,121.88,121.88,148.6647314
01/01/2022 21:00,102.61,102.61,190.81,102.61,102.61,102.61,151.592327
01/01/2022 22:00,97.46,97.46,188.39,97.46,97.46,97.46,119.0079502
01/01/2022 23:00,85.16,85.16,167.26,85.16,85.16,85.16,87.01861322
02/01/2022 00:00,57.08,57.08,133.21,57.08,57.08,89.89,73.79682994
02/01/2022 01:00,52.59,52.59,115.87,52.59,52.59,80.15,55.44580402
02/01/2022 02:00,48.97,48.97,110.52,48.97,48.97,62.75,38.67758383
02/01/2022 03:00,34.94,34.94,113,34.94,34.94,54.87,11.90079502
02/01/2022 04:00,29.56,29.56,115.87,29.56,29.56,50.5,7.140477014
02/01/2022 05:00,33.97,33.97,110.52,33.97,33.97,50.89,5.962298307
02/01/2022 06:00,34.52,34.52,115.87,34.52,34.52,56.15,6.188413413
02/01/2022 07:00,41.8,41.8,129.6,41.8,41.8,60.91,5.617175251
02/01/2022 08:00,48.95,48.95,115.87,48.95,48.95,65.54,11.80558866
02/01/2022 09:00,60.01,60.01,115.87,60.01,60.01,86.18,44.25905669
02/01/2022 10:00,70.09,70.09,113,70.09,70.09,89.71,78.66425511
02/01/2022 11:00,66.26,66.26,103.7,66.26,66.26,91.12,102.3468372
02/01/2022 12:00,64.54,64.54,103.7,64.54,64.54,91.4,84.50754547
02/01/2022 13:00,46.96,46.96,110.52,46.96,46.96,91.44,88.16108954
02/01/2022 14:00,41.95,40.01,115.87,40.01,49.06,86.25,80.00904495
02/01/2022 15:00,48.31,29.11,109.5,39.3,74.99,81.09,97.71742794
02/01/2022 16:00,51.91,32.76,115.87,40.79,85,88.46,66.7396585
02/01/2022 17:00,56.04,42.97,159.79,47.91,100,95.4,148.6528306
02/01/2022 18:00,69.32,60.96,194.25,65.09,109.9,86.71,177.2028379
02/01/2022 19:00,69.5,60.94,198,67.85,99.9,82.14,142.8095403
02/01/2022 20:00,62.22,54.12,208.38,62.22,77,89.38,103.3346032
02/01/2022 21:00,46.16,46.16,209.1,46.16,46.16,73.66,76.95054063
02/01/2022 22:00,46.29,46.29,191.36,46.29,46.29,74.28,98.81230109
02/01/2022 23:00,32.93,32.93,178,32.93,32.93,57.04,0
03/01/2022 00:00,-0.7,0.31,181.5,2.71,0.31,21.82,-15.05913082
03/01/2022 01:00,-1.34,-0.01,160.72,1.71,-0.01,19.62,-11.87377402
03/01/2022 02:00,-0.99,-0.07,154.64,1.24,-0.07,19.62,-16.18826849
03/01/2022 03:00,-1.83,-1.05,149.86,0.06,-1.05,27.54,-23.81886201
03/01/2022 04:00,-1.72,-1,144.49,0.09,-1,49.18,-29.70226355
03/01/2022 05:00,0,0.32,148.86,1.44,0,76.3,-17.50757671
03/01/2022 06:00,35.22,37.55,153.77,41.11,35.97,89.98,23.65246277
03/01/2022 07:00,88.5,88.76,160.72,90.54,90.34,102.48,80.81060019
03/01/2022 08:00,96,122.93,189.26,161.79,120,119.24,33.51756031
03/01/2022 09:00,70.5,110.17,183.54,180.36,129.9,114.67,106.733224
03/01/2022 10:00,90.57,93.38,160.72,125.03,119.04,107.46,77.96992752
03/01/2022 11:00,101.33,90.73,152.2,100.74,119.19,110.08,86.76531569
03/01/2022 12:00,97.3,82.37,148.86,96.39,120,119.78,90.8896396
03/01/2022 13:00,96.2,80.9,142.04,95.22,122.62,117,110.8813192
03/01/2022 14:00,100.73,80.99,127.38,102.67,138.18,111.57,114.625302
03/01/2022 15:00,117.23,98.05,112.87,112.87,143.1,111.39,111.0596041
03/01/2022 16:00,128.57,123.51,126.8,126.8,136,120.27,129.0188359
03/01/2022 17:00,148.49,148.49,148.49,148.49,148.49,120.27,152.4216998
03/01/2022 18:00,162.12,138,175.06,175.06,214,120.27,188.981989
03/01/2022 19:00,123.91,117.64,180,180,192,117.64,168.3960264
03/01/2022 20:00,120.7,117.71,153.77,146.43,149.8,117.61,172.6035499
03/01/2022 21:00,111.01,95.95,141.94,105.71,144.22,95.95,144.1611663
03/01/2022 22:00,119.97,105.68,114.11,114.11,130,105.68,144.0541954
03/01/2022 23:00,103.93,95.26,100.36,100.36,110,95.26,114.9224435
04/01/2022 00:00,129.18,103.7,125.47,125.47,194.9,103.7,120.7873944
04/01/2022 01:00,115.55,108.27,115.55,115.55,137.25,104.14,179.2915462
04/01/2022 02:00,116.86,105.92,113.29,113.29,137.2,102.59,161.41262
04/01/2022 03:00,107.07,103.41,105.81,105.81,119.31,100.49,119.543643
04/01/2022 04:00,106.21,102.71,105,105,117.13,102.71,101.76039
04/01/2022 05:00,115.57,114.23,115.11,115.11,119.9,93.97,111.220076
04/01/2022 06:00,156.91,156.91,153.77,156.91,156.91,130.08,151.9409748
04/01/2022 07:00,182.64,182.64,161.03,182.64,182.64,124.62,193.750156
04/01/2022 08:00,178.91,178.91,178.91,178.91,178.91,140.86,197.8760621
04/01/2022 09:00,190,190,190,190,190,190,201.021318
04/01/2022 10:00,189.88,189.88,189.88,189.88,189.88,189.88,196.4050869
04/01/2022 11:00,182.42,182.42,182.42,182.42,182.42,182.42,190.0069427
04/01/2022 12:00,182.46,182.46,182.46,182.46,182.46,182.46,175.0580078
04/01/2022 13:00,179.59,179.59,179.59,179.59,179.59,179.59,170.142798
04/01/2022 14:00,179,179,163.2,179,179,179,166.268034
04/01/2022 15:00,180.93,180.93,157.3,180.93,180.93,180.93,170.7168371
04/01/2022 16:00,166.69,166.69,157.3,166.69,166.69,166.69,169.8438193
04/01/2022 17:00,189.88,189.88,163.78,189.88,189.88,189.88,190.1624117
04/01/2022 18:00,184.94,184.94,184.94,184.94,184.94,184.94,195.4842325
04/01/2022 19:00,178.99,178.99,178.99,178.99,178.99,178.99,188.8469054
04/01/2022 20:00,156.12,156.12,156.12,156.12,156.12,156.12,168.2412935
04/01/2022 21:00,144.9,140.92,148.65,148.65,154.99,128.75,142.1344735
04/01/2022 22:00,137.92,137.92,137.92,137.92,137.92,131.03,140.7950489
04/01/2022 23:00,98.1,97.56,105,105,106,97.56,101.0548002
05/01/2022 00:00,114.37,105.31,120.11,120.11,128.88,105.31,137.9718945
05/01/2022 01:00,106.72,97.29,105.1,105.1,113.88,97.29,121.2266286
05/01/2022 02:00,84.5,84.5,84.5,84.5,84.5,94.87,107.7370541
05/01/2022 03:00,75.38,75.38,75.38,75.38,75.38,94.37,97.14408745
05/01/2022 04:00,79.11,79.11,79.11,79.11,79.11,96.52,93.66097638
05/01/2022 05:00,94.79,94.79,94.79,94.79,94.79,97.91,101.405213
05/01/2022 06:00,90.21,99.16,169.04,169.04,158,122.43,154.8967023
05/01/2022 07:00,139,101.15,206.07,215.98,188.04,124.69,215.4381999
05/01/2022 08:00,181.61,129.56,211.13,211.13,227.4,147.74,209.824526
05/01/2022 09:00,168.02,113.37,213.86,226.52,231,141.47,211.9670582
05/01/2022 10:00,157.55,94.43,209.1,224.45,228.7,135.97,211.4164634
05/01/2022 11:00,161.72,98.1,202.8,202.8,220,129.99,206.580804
05/01/2022 12:00,140,95.68,199.89,205,198.63,131.97,207.2151851
05/01/2022 13:00,144.03,96.8,197.34,197.34,200,130.67,209.7766482
05/01/2022 14:00,170.59,107.32,195.6,195.6,220,134.6,220.1541647
05/01/2022 15:00,206.51,119.48,200,200,215,127.46,222.8832001
05/01/2022 16:00,217.07,137.28,206.07,206.07,228.7,137.28,208.0530468
05/01/2022 17:00,240.55,148.09,211.23,242.1,299,116.43,257.2594716
05/01/2022 18:00,240,139.88,225,265,315.25,118.93,322.8640482
05/01/2022 19:00,220,135.75,250.34,265,251.03,125.81,313.5877214
05/01/2022 20:00,200.1,119.93,241.93,241.93,181.1,119.93,307.4713305
05/01/2022 21:00,151.97,98.09,218.95,218.95,227.8,98.09,232.3510381
05/01/2022 22:00,182.35,118.71,207.46,207.46,141.45,118.71,211.2967688
05/01/2022 23:00,171.8,99.68,200,200,140,97.29,215.9528864
06/01/2022 00:00,191.54,99.85,207.15,207.15,225,98.46,221.3103995
06/01/2022 01:00,190,101.32,204.22,204.22,187.87,92.92,241.6470308
06/01/2022 02:00,191.34,110.01,191.82,191.82,218,90.99,245.2358481
06/01/2022 03:00,176.57,111.55,180.7,180.7,188,88.94,223.5593917
06/01/2022 04:00,187.3,123.37,170.1,170.1,199.9,89.31,196.2006412
06/01/2022 05:00,193.9,149.94,194.38,194.38,187,89.75,185.494003
06/01/2022 06:00,220.09,185.92,204.22,204.22,215.56,97.06,206.2014787
06/01/2022 07:00,228.25,228.25,216.14,228.25,228.25,110.87,238.3213935
06/01/2022 08:00,252.43,228.92,219.42,240.98,250,136.88,271.6016924
06/01/2022 09:00,300,212.9,220,257.44,292.55,159.36,284.6410619
06/01/2022 10:00,273.64,215.5,214.9,245.24,268.67,175.11,284.2223666
06/01/2022 11:00,231.9,231.9,207.9,231.9,231.9,177.43,239.1587842
06/01/2022 12:00,226,226,205,226,226,175.58,235.8929604
06/01/2022 13:00,209.2,209.2,204.43,209.2,209.2,178.81,234.1822908
06/01/2022 14:00,216.06,216.06,196.84,216.06,216.06,197.11,231.0600198
06/01/2022 15:00,230.77,230.77,189.89,230.77,230.77,180.62,235.2708988
06/01/2022 16:00,245.95,245.95,202.17,245.95,245.95,204.23,234.6847253
06/01/2022 17:00,274.11,274.11,222.31,274.11,274.11,191.44,257.126796
06/01/2022 18:00,273.44,273.44,273.44,273.44,273.44,193.83,259.1843846
06/01/2022 19:00,230,245.48,278.36,278.36,219.1,198.85,252.0306755
06/01/2022 20:00,215.43,226.14,251.71,251.71,218.58,193.65,246.8747413
06/01/2022 21:00,192.62,208.31,229.96,229.96,203.31,158.79,234.6249116
06/01/2022 22:00,163.05,178.75,216.44,216.44,184.7,149.94,224.1694906
06/01/2022 23:00,87.94,124.7,210,210,136.48,124.7,199.7535703
07/01/2022 00:00,83.81,128.92,213.47,213.47,128.92,128.92,209.90052
07/01/2022 01:00,87.77,118.4,189,189,127.98,116.65,194.6901637
07/01/2022 02:00,72.38,103.01,180,180,115.93,100.54,191.6696674
07/01/2022 03:00,76.79,101.91,164.9,164.9,107.42,99.47,169.6512083
07/01/2022 04:00,77.7,101.98,162.8,162.8,107.3,101.74,160.5657473
07/01/2022 05:00,95.23,114.99,165,165,117.59,114.99,184.0105518
07/01/2022 06:00,141.8,140.19,165.2,165.2,153.61,140.19,204.303013
07/01/2022 07:00,164.21,152.64,215.89,215.89,189.3,115.56,227.7118593
07/01/2022 08:00,214.76,160.97,243.84,254.19,229.9,118.55,222.078394
07/01/2022 09:00,243.88,161.85,250.01,257.24,255,118.58,251.7319964
07/01/2022 10:00,203.35,161.37,240,254.18,240,129.07,253.0025227
07/01/2022 11:00,215.69,166.06,232.53,241.22,245.4,137.72,242.1311332
07/01/2022 12:00,181.1,166.54,216.28,240.2,210.08,148.04,245.1156712
07/01/2022 13:00,220.94,166.04,211.94,212.69,240,156.34,253.7576467
07/01/2022 14:00,218.13,169.43,207.05,207.05,233.06,151.99,228.0594561
07/01/2022 15:00,216.39,189.7,210.11,210.11,224.37,146.39,223.1811148
07/01/2022 16:00,232.33,201.97,220.21,220.21,240,154.89,239.2544701
07/01/2022 17:00,244.33,243.11,243.84,243.84,244.59,153.44,260.5537634
07/01/2022 18:00,265.24,253.81,260,260,263.14,132.07,303.4879607
07/01/2022 19:00,257.69,237.05,250,250,262,129.07,298.1901061
07/01/2022 20:00,250.32,224.33,243.84,239.09,238.03,118.56,305.2019725
07/01/2022 21:00,213.81,213.81,243.84,213.81,213.81,114.81,248.315959
07/01/2022 22:00,235.59,185.94,235.69,216.13,258,153.2,226.6331106
07/01/2022 23:00,230,148.32,215.1,205.74,257.25,144.76,227.7598037
08/01/2022 00:00,198.65,164.17,270.02,184.96,200.3,160.71,328.1913053
08/01/2022 01:00,169.75,152.83,237.86,162.79,176.2,146.08,287.6423412
08/01/2022 02:00,166,166,215.89,166,166,144.64,288.6012289
08/01/2022 03:00,162.13,160.86,211.44,161.63,162.38,146.9,235.4548775
08/01/2022 04:00,160,160,200.9,160,160,150.07,184.3581486
08/01/2022 05:00,154.3,154.3,200,154.3,154.3,154.3,166.8584479
